date,sale_dollars,sale_liters
2017-08-02,1399092.8399999938,95614.17000000032
2017-08-03,1306812.0199999972,86465.1
2017-08-04,512998.9900000017,38956.260000000024
2017-08-07,1427367.5300000003,97748.55000000026
2017-08-08,1108356.860000002,73976.38000000015
2017-08-09,1359373.6999999937,96395.0900000005
2017-08-10,1300741.6099999987,87293.40000000011
2017-08-11,547979.0500000023,43135.709999999985
2017-08-14,1548327.9599999965,105840.20000000056
2017-08-15,1257366.23,86506.45000000024
2017-08-16,1325230.5099999965,91280.58000000025
2017-08-17,1284065.8500000024,85123.83000000005
2017-08-18,547672.0600000019,39834.61999999992
2017-08-21,1472021.1500000013,98965.53000000029
2017-08-22,1044922.6600000032,70197.31000000006
2017-08-23,1275485.0999999994,89020.28000000012
2017-08-24,1160788.2800000047,80548.99000000009
2017-08-25,531747.0700000031,39472.66999999996
2017-08-28,1978054.4599999841,133887.10000000085
2017-08-29,1262657.6100000008,87763.37000000027
2017-08-30,1521218.1499999969,103471.04000000049
2017-08-31,1416689.979999996,95938.94000000028
2017-09-01,681811.4100000032,47772.00999999999
2017-09-04,217.08,9.0
2017-09-05,1357584.109999998,90017.11000000029
2017-09-06,1759241.629999984,119772.03000000057
2017-09-07,1467360.6299999983,94491.77000000016
2017-09-08,531173.0400000028,39292.52999999997
2017-09-11,1993363.8399999843,134903.70000000062
2017-09-12,1591799.4399999867,104971.36000000036
2017-09-13,1600705.1899999853,108933.68000000044
2017-09-14,1673181.469999996,109963.42000000022
2017-09-15,641006.7700000021,45961.89999999993
2017-09-18,1618853.8599999938,107197.27000000053
2017-09-19,1139448.2000000055,73186.35000000021
2017-09-20,1338100.3300000026,89954.50000000029
2017-09-21,1237704.020000001,81291.79999999997
2017-09-22,484002.6500000025,35026.13999999992
2017-09-25,1341340.379999992,88647.11000000013
2017-09-26,1090878.0100000026,76256.01000000023
